nr,start,end,A,youngsModule,density
1,1,2,100,210,0
2,1,3,100,210,0
3,3,4,100,210,0
4,3,5,100,210,0
5,5,6,100,210,0
6,1,6,100,210,0
7,4,5,100,210,0
8,1,5,100,210,0
9,3,6,100,210,0
10,5,7,100,210,0
11,4,7,100,210,0
12,4,8,100,210,0
13,7,8,100,210,0
14,7,9,100,210,0
15,8,9,100,210,0
16,8,10,100,210,0
17,9,10,100,210,0
18,9,11,100,210,0
19,10,11,100,210,0
20,10,12,100,210,0
21,11,12,100,210,0
22,5,13,100,210,0
23,13,14,100,210,0
24,6,14,100,210,0
25,6,13,100,210,0
26,5,14,100,210,0
27,13,15,100,210,0
28,15,16,100,210,0
29,14,16,100,210,0
30,13,16,100,210,0
31,14,15,100,210,0
32,12,17,100,210,0
33,11,17,100,210,0
34,17,18,100,210,0
35,18,19,100,210,0
36,17,19,100,210,0
37,12,19,100,210,0
38,19,20,100,210,0
39,18,20,100,210,0
40,18,21,100,210,0
41,20,21,100,210,0
42,20,22,100,210,0
43,21,22,100,210,0
44,21,23,100,210,0
45,22,23,100,210,0
46,23,24,100,210,0
47,22,25,100,210,0
48,23,25,100,210,0
49,24,25,100,210,0
50,26,27,100,210,0
51,28,29,100,210,0
52,15,30,100,210,0
53,30,31,100,210,0
54,31,32,100,210,0
55,32,33,100,210,0
56,33,34,100,210,0
57,34,35,100,210,0
58,30,36,100,210,0
59,31,36,100,210,0
60,31,37,100,210,0
61,32,37,100,210,0
62,32,38,100,210,0
63,33,38,100,210,0
64,33,39,100,210,0
65,34,39,100,210,0
66,26,34,100,210,0
67,26,35,100,210,0
68,15,36,100,210,0
69,36,37,100,210,0
70,37,38,100,210,0
71,38,39,100,210,0
72,26,39,100,210,0
73,2,3,100,210,0
74,30,40,100,210,0
75,16,40,100,210,0
76,40,41,100,210,0
77,41,42,100,210,0
78,42,43,100,210,0
79,43,44,100,210,0
80,42,44,100,210,0
81,42,45,100,210,0
82,41,45,100,210,0
83,41,46,100,210,0
84,40,46,100,210,0
85,16,46,100,210,0
86,45,46,100,210,0
87,44,45,100,210,0
88,47,48,100,210,0
89,47,49,100,210,0
90,49,50,100,210,0
91,49,51,100,210,0
92,51,52,100,210,0
93,47,52,100,210,0
94,50,51,100,210,0
95,47,51,100,210,0
96,49,52,100,210,0
97,51,53,100,210,0
98,50,53,100,210,0
99,50,54,100,210,0
100,53,54,100,210,0
101,53,55,100,210,0
102,54,55,100,210,0
103,54,56,100,210,0
104,55,56,100,210,0
105,55,57,100,210,0
106,56,57,100,210,0
107,56,58,100,210,0
108,57,58,100,210,0
109,51,59,100,210,0
110,59,60,100,210,0
111,52,60,100,210,0
112,52,59,100,210,0
113,51,60,100,210,0
114,59,61,100,210,0
115,61,62,100,210,0
116,60,62,100,210,0
117,59,62,100,210,0
118,60,61,100,210,0
119,58,63,100,210,0
120,57,63,100,210,0
121,63,64,100,210,0
122,64,65,100,210,0
123,63,65,100,210,0
124,58,65,100,210,0
125,65,66,100,210,0
126,64,66,100,210,0
127,64,67,100,210,0
128,66,67,100,210,0
129,66,68,100,210,0
130,67,68,100,210,0
131,67,69,100,210,0
132,68,69,100,210,0
133,69,70,100,210,0
134,68,71,100,210,0
135,69,71,100,210,0
136,70,71,100,210,0
137,61,72,100,210,0
138,72,73,100,210,0
139,73,74,100,210,0
140,74,75,100,210,0
141,75,76,100,210,0
142,35,76,100,210,0
143,72,77,100,210,0
144,73,77,100,210,0
145,73,78,100,210,0
146,74,78,100,210,0
147,74,79,100,210,0
148,75,79,100,210,0
149,75,80,100,210,0
150,76,80,100,210,0
151,28,76,100,210,0
152,28,35,100,210,0
153,61,77,100,210,0
154,77,78,100,210,0
155,78,79,100,210,0
156,79,80,100,210,0
157,28,80,100,210,0
158,48,49,100,210,0
159,72,81,100,210,0
160,62,81,100,210,0
161,81,82,100,210,0
162,82,83,100,210,0
163,83,84,100,210,0
164,84,85,100,210,0
165,83,85,100,210,0
166,83,86,100,210,0
167,82,86,100,210,0
168,82,87,100,210,0
169,81,87,100,210,0
170,62,87,100,210,0
171,86,87,100,210,0
172,85,86,100,210,0
173,25,27,100,210,0
174,27,88,100,210,0
175,29,88,100,210,0
176,29,71,100,210,0
177,28,70,100,210,0
178,26,28,100,210,0
179,24,26,100,210,0
180,24,27,100,210,0
181,26,88,100,210,0
182,28,88,100,210,0
183,29,70,100,210,0
184,17,32,100,210,0
185,21,33,100,210,0
186,67,75,100,210,0
187,63,74,100,210,0
