nr,x,y,Fx,Fy,xLock,yLock
1,85722.97099389786,34562.80464766362,0,0,1,1,
2,96367.5718465268,26182.860486500038,0,0,1,1,
3,100839.73301011453,34562.80464766362,0,0,0,0,
4,108882.12187578366,46495.11644236396,0,0,0,0,
5,100839.73301011453,53414.106996572766,0,0,0,0,
6,85722.97099389786,53414.106996572766,0,0,0,0,
7,108585.64473794198,62026.232048817175,0,0,0,0,
8,116499.44111008944,57137.93128813842,0,0,0,0,
9,116383.35066454903,69823.93797542421,0,0,0,0,
10,124063.18013876118,65925.0850121207,0,0,0,0,
11,123714.90880213995,76805.43876953941,0,0,0,0,
12,131512.61472874696,74826.54317478892,0,0,0,0,
13,100839.73301011453,77037.61966062026,0,0,0,0,
14,85722.97099389786,77037.61966062026,0,0,0,0,
15,100839.73301011453,99389.49544428656,0,0,0,0,
16,85722.97099389786,99389.49544428656,0,0,0,0,
17,131512.61472874696,83206.48733595252,0,0,0,0,
18,139542.50154643483,88618.0881049904,0,0,0,0,
19,139542.50154643483,81693.73953021817,0,0,0,0,
20,146872.27367717127,86464.16383850205,0,0,0,0,
21,146872.27367717127,92050.79327927777,0,0,0,0,
22,155484.39872941573,90886.31681016467,0,0,0,0,
23,155600.48917495614,95308.46978182731,0,0,0,0,
24,162583.7759759258,97674.92886399732,0,0,0,0,
25,162583.7759759258,93679.63153055253,0,0,0,0,
26,170501.14436178218,99389.49544428656,0,0,0,0,
27,170540.43651258043,95347.7619326256,0,0,0,0,
28,186316.2350580958,99389.49544428656,0,0,0,0,
29,186355.5272088941,95347.7619326256,0,0,0,0,
30,100839.73301011453,106442.43651258048,0,0,0,0,
31,115956.49502633119,106442.43651258048,0,0,0,0,
32,131512.61472874696,106442.43651258048,0,0,0,0,
33,146872.27367717127,106442.43651258048,0,0,0,0,
34,162583.7759759258,106442.43651258048,0,0,0,0,
35,178418.51274763857,106442.43651258048,0,0,0,0,
36,108398.11401822284,99389.49544428656,0,0,0,0,
37,123889.93747387778,99389.49544428656,0,0,0,0,
38,139192.44420295913,99389.49544428656,0,0,0,0,
39,155543.33695561314,99389.49544428656,0,0,0,0,
40,85722.97099389786,106442.43651258048,0,0,0,0,
41,69795.36186575274,106442.43651258048,0,0,0,0,
42,54744.68210315138,106442.43651258048,0,0,0,0,
43,39151.05625679177,106442.43651258048,0,0,0,1,
44,46946.97617654435,99389.49544428656,0,0,0,0,
45,62269.12898102482,99389.49544428656,0,0,0,0,
46,77759.1664298253,99389.49544428656,0,0,0,0,
47,271114.05450137926,34562.80464766362,0,0,1,1,
48,260469.45364875035,26182.860486500038,0,0,1,1,
49,255997.2924851626,34562.80464766362,0,0,0,0,
50,247954.90361949345,46495.11644236396,0,0,0,0,
51,255997.2924851626,53414.106996572766,0,0,0,0,
52,271114.05450137926,53414.106996572766,0,0,0,0,
53,248249.59475048067,62026.232048817175,0,0,0,0,
54,240337.58438518769,57137.93128813842,0,0,0,0,
55,240453.67483072806,69823.93797542421,0,0,0,0,
56,232772.0593496615,65925.0850121207,0,0,0,0,
57,233122.11669313716,76805.43876953941,0,0,0,0,
58,225324.4107665301,74826.54317478892,0,0,0,0,
59,255997.2924851626,77037.61966062026,0,0,0,0,
60,271114.05450137926,77037.61966062026,0,0,0,0,
61,255997.2924851626,99389.49544428656,0,0,0,0,
62,271114.05450137926,99389.49544428656,0,0,0,0,
63,225324.4107665301,83206.48733595252,0,-10000,0,0,
64,217294.52394884228,88618.0881049904,0,0,0,0,
65,217294.52394884228,81693.73953021817,0,0,0,0,
66,209962.96581125134,86464.16383850205,0,0,0,0,
67,209962.96581125134,92050.79327927777,0,0,0,0,
68,201352.62676586144,90886.31681016467,0,0,0,0,
69,201234.75031346653,95308.46978182731,0,0,0,0,
70,194253.24951935135,97674.92886399732,0,0,0,0,
71,194253.24951935135,93679.63153055253,0,0,0,0,
72,255997.2924851626,106442.43651258048,0,0,0,0,
73,240880.53046894592,106442.43651258048,0,0,0,0,
74,225324.4107665301,106442.43651258048,0,0,0,0,
75,209962.96581125134,106442.43651258048,0,0,0,0,
76,194253.24951935135,106442.43651258048,0,0,0,0,
77,248438.91147705424,99389.49544428656,0,0,0,0,
78,232947.0880213993,99389.49544428656,0,0,0,0,
79,217644.58129231795,99389.49544428656,0,0,0,0,
80,201293.68853966397,99389.49544428656,0,0,0,0,
81,271114.05450137926,106442.43651258048,0,0,0,0,
82,287041.66362952435,106442.43651258048,0,0,0,0,
83,302092.3433921258,106442.43651258048,0,0,0,0,
84,317685.9692384853,106442.43651258048,0,0,0,1,
85,309890.04931873275,99389.49544428656,0,0,0,0,
86,294566.1105073978,99389.49544428656,0,0,0,0,
87,279077.85906545183,99389.49544428656,0,0,0,0,
88,178418.51274763857,96181.82713366213,0,0,0,0,
