Jahr,Monat,Woche,InfluenzaVerdachtsfaelle,Inzidenz pro 100 000 Einwohner,Grippeverbreitung,Grippeverbreitung Label,
2017,6,26,2,1.16762411844379,,,
2017,7,27,1,0.615032627480888,,,
2017,7,28,1,0.646872372080988,,,
2017,7,29,0,,,,
2017,7,30,0,,,,
2017,8,31,8,5.79252619307938,,,
2017,8,32,3,1.80952897960661,,,
2017,8,33,9,5.14933058702369,,,
2017,8,34,5,2.93682306228414,,,
2017,8,35,5,2.92812049801473,,,
2017,9,36,2,1.26658433868465,,,
2017,9,37,7,4.10518661005419,,,
2017,9,38,7,4.13550269989248,,,
2017,9,39,14,8.29546060545012,,,
2017,10,40,15,8.91551656502978,,,
2017,10,41,17,9.86702729684081,1,sporadisch,
2017,10,42,20,12.523873634115,1,sporadisch,
2017,10,43,29,17.1424180267304,0,keine,
2017,11,44,28,17.4201937374404,0,keine,
2017,11,45,26,15.5207201614155,1,sporadisch,
2017,11,46,28,17.0454199565342,1,sporadisch,
2017,11,47,28,17.1622259407045,1,sporadisch,
2017,11,48,47,29.0517987390283,1,sporadisch,
2017,12,49,57,35.0883672828676,1,sporadisch,
2017,12,50,103,60.8837003103295,2,verbreitet,
2017,12,51,191,111.086554455676,3,weit verbreitet,
2017,12,52,238,172.478766269531,3,weit verbreitet,
2018,1,1,343,292.769531483394,3,weit verbreitet,
2018,1,2,572,345.512863105629,3,weit verbreitet,
2018,1,3,454,288.332687654407,3,weit verbreitet,
2018,1,4,551,344.205048757176,3,weit verbreitet,
2018,2,5,493,293.2307124971,3,weit verbreitet,
2018,2,6,414,259.538347731234,3,weit verbreitet,
2018,2,7,362,254.879319570789,3,weit verbreitet,
2018,2,8,400,244.880467721693,3,weit verbreitet,
2018,3,9,398,241.109832192403,3,weit verbreitet,
2018,3,10,327,192.937428090982,3,weit verbreitet,
2018,3,11,297,180.538332482311,3,weit verbreitet,
2018,3,12,201,119.590180515725,2,verbreitet,
2018,3,13,139,91.065731113688,2,verbreitet,
2018,4,14,49,41.2544727425805,2,verbreitet,
2018,4,15,52,31.6361357676934,1,sporadisch,
2018,4,16,27,14.4201497559256,1,sporadisch,
2018,4,17,19,10.587494497289,,,
2018,5,18,11,6.86157703991567,,,
2018,5,19,10,7.28045779518616,,,
2018,5,20,11,6.41130254353857,,,
2018,5,21,2,1.35136048216542,,,
2018,5,22,2,1.22419249202745,,,
2018,6,23,0,,,,
2018,6,24,2,1.12725592091172,,,
2018,6,25,6,3.77047841086903,,,
2018,6,26,9,5.40940153987631,,,
2018,7,27,0,,,,
2018,7,28,1,0.609247153292676,,,
2018,7,29,3,1.78569302746396,,,
2018,7,30,4,2.52550762703303,,,
2018,8,31,2,1.29790064570557,,,
2018,8,32,4,2.48286820935545,,,
2018,8,33,2,1.28516533652054,,,
2018,8,34,4,2.43155181636921,,,
2018,8,35,0,,,,
2018,9,36,5,3.20237744501518,,,
2018,9,37,4,2.39868552033486,,,
2018,9,38,12,7.11912672045562,,,
2018,9,39,10,5.93239443304106,,,
2018,10,40,18,11.4509644256705,0,keine,
2018,10,41,11,6.71673688709776,0,keine,
2018,10,42,22,13.8359558758789,0,keine,
2018,10,43,14,8.66814025050925,0,keine,
2018,11,44,28,17.8814333246055,1,sporadisch,
2018,11,45,26,15.5865020891908,1,sporadisch,
2018,11,46,26,15.7441216899498,1,sporadisch,
2018,11,47,56,33.7422573570172,1,sporadisch,
2018,11,48,35,21.7503433447057,1,sporadisch,
2018,12,49,58,33.9238818279123,1,sporadisch,
2018,12,50,41,24.8107424463392,1,sporadisch,
2018,12,51,80,47.4453636983661,1,sporadisch,
2018,12,52,35,31.1915159076731,1,sporadisch,
2019,1,1,63,66.7104343590504,1,sporadisch,
2019,1,2,197,116.92921330975,2,verbreitet,
2019,1,3,242,138.821963699777,3,weit verbreitet,
2019,1,4,359,204.914523816319,3,weit verbreitet,
2019,1,5,409,241.158504227644,3,weit verbreitet,
2019,2,6,537,304.871125241285,3,weit verbreitet,
2019,2,7,555,298.241183077097,3,weit verbreitet,
2019,2,8,436,238.785044169756,3,weit verbreitet,
2019,2,9,318,185.082792538486,3,weit verbreitet,
